name,val_loss,val_accuracy,loss,accuracy,runtime,build_fn_params.hidden_activation,build_fn_params.loss,build_fn_params.optimizer,build_fn_params.output_activation,dataset_params.batch_size,dataset_params.color_mode,dataset_params.crop_to_aspect_ratio,dataset_params.image_size.0,dataset_params.image_size.1,dataset_params.interpolation,dataset_params.label_mode,early_stopping_params.patience,fit_params.epochs,lr
resemble_gradually,0.48077699542045593,0.7767857313156128,0.36358940601348877,0.8461968898773193,2023-10-29 05:54:20,relu,binary_crossentropy,adam,sigmoid,64,grayscale,False,256,256,bilinear,binary,50,10000000000,0.001
obsessive_residual,0.48112815618515015,0.7946428656578064,0.19266000390052795,0.9334452152252197,2023-10-29 22:43:52,swish,binary_crossentropy,adam,sigmoid,32,grayscale,False,256,256,bilinear,binary,50,10000000000,
wager_hurricane,0.4812772870063782,0.7767857313156128,0.45702028274536133,0.7885906100273132,2023-10-27 15:22:04,selu,binary_crossentropy,adam,sigmoid,32,grayscale,False,64,64,bilinear,binary,50,10000000000,0.001
decal_untie,0.4841601252555847,0.7834821343421936,0.20445095002651215,0.9463087320327759,2023-10-29 13:05:39,selu,binary_crossentropy,adam,sigmoid,128,grayscale,False,256,256,bilinear,binary,50,10000000000,0.001
irrigate_siberian,0.4877825677394867,0.7477678656578064,0.5072347521781921,0.708053708076477,2023-10-30 14:45:52,relu,binary_crossentropy,adam,sigmoid,128,rgb,False,256,256,bilinear,binary,50,10000000000,
blinks_stinking,0.4896126389503479,0.7633928656578064,0.3893113136291504,0.8478747010231018,2023-10-30 03:25:05,relu,binary_crossentropy,adam,sigmoid,64,grayscale,False,128,128,bilinear,binary,50,10000000000,
hazard_commode,0.4947432577610016,0.7566964030265808,0.3815248906612396,0.8316555023193359,2023-10-30 12:35:14,swish,binary_crossentropy,adam,sigmoid,128,grayscale,False,256,256,bilinear,binary,50,10000000000,
unmoving_copy,0.496874064207077,0.7857142686843872,0.2538240849971771,0.899328887462616,2023-10-28 01:27:34,selu,binary_crossentropy,adam,sigmoid,64,rgb,False,128,128,bilinear,binary,50,10000000000,0.001
chuck_riddance,0.497078001499176,0.7879464030265808,0.512599527835846,0.758948564529419,2023-10-30 09:04:08,swish,binary_crossentropy,adam,sigmoid,64,rgb,False,256,256,bilinear,binary,50,10000000000,
overturn_lair,0.5005132555961609,0.7477678656578064,0.45450446009635925,0.8154362440109253,2023-10-27 18:22:22,relu,binary_crossentropy,adam,sigmoid,32,rgb,False,128,128,bilinear,binary,50,10000000000,0.001
pumice_nectar,0.5026785135269165,0.7611607313156128,0.3684540390968323,0.8573825359344482,2023-10-28 04:27:51,swish,binary_crossentropy,adam,sigmoid,64,rgb,False,256,256,bilinear,binary,50,10000000000,0.001
unframed_purge,0.5054468512535095,0.7633928656578064,0.4218345880508423,0.81767338514328,2023-10-29 13:55:45,swish,binary_crossentropy,adam,sigmoid,128,grayscale,False,256,256,bilinear,binary,50,10000000000,0.001
sulfite_justness,0.5065280795097351,0.7879464030265808,0.289730429649353,0.8730425238609314,2023-10-30 13:24:47,relu,binary_crossentropy,adam,sigmoid,128,rgb,False,128,128,bilinear,binary,50,10000000000,
spearmint_lethargic,0.5065378546714783,0.78125,0.3121805787086487,0.8853467702865601,2023-10-27 18:02:00,relu,binary_crossentropy,adam,sigmoid,32,rgb,False,64,64,bilinear,binary,50,10000000000,0.001
